"node","nobs","nsets","npredators","nprey","dev","loss","split","pclass"
1,660,63,553,12,328.496018531528,0.594025349966596,"Lat > 10.115","A-Gal"
2,521,42,428,11,203.496018531528,0.475457987223195,"Lon > -116.715","A-Gal"
3,139,21,125,11,86.0724381761421,0.688579505409137,"SST > 28.08334","F-Pho"
4,397,32,328,11,124.274862032003,0.378886774487813,"Lon > -107.085","A-Gal"
5,124,10,100,10,65.9164881001646,0.659164881001646,"SST > 28.25","F-Ost"
6,28,4,26,5,2.07243817614211,0.0797091606208504,"<leaf>","F-Pho"
7,111,17,99,9,63.3504719241071,0.639903756809162,"Lon > -104.5","F-Sco"
8,64,6,48,8,30.2315164501215,0.629823259377531,"Lon > -100.805","M-Arg"
9,333,26,280,11,77.2748620320025,0.275981650114295,"SST > 22.44444","A-Gal"
10,61,5,46,9,16.3363912265728,0.355138939708105,"Lat > 11.03","F-Pho"
11,63,5,54,5,21.9473892588345,0.40643313442286,"Year > 2004.5","F-Ost"
14,60,10,57,8,39.3065949988801,0.689589385945266,"Lon < -78.97","M-Omm"
15,51,7,42,6,11.0904659411071,0.264058712883502,"SST < 23.77778","F-Sco"
16,26,2,21,3,3.23151645012151,0.153881735720072,"<leaf>","M-Arg"
17,38,4,27,7,15.008642038,0.555875631037037,"Length < 647.5","F-Pho"
18,314,25,265,10,62.4522626394564,0.23566891562059,"Lat > 23.415","A-Gal"
19,19,1,15,3,0.240099120057048,0.0160066080038032,"<leaf>","F-Nom"
20,57,4,42,9,12.3363912265728,0.293723600632687,"<leaf>","F-Pho"
21,4,1,4,1,0,0,"<leaf>","F-Tet"
22,12,1,12,1,0,0,"<leaf>","A-Gal"
23,51,4,42,5,9.94738925883446,0.236842601400821,"SST < 23.77778","F-Ost"
28,52,9,49,7,31.3065949988801,0.638910102017962,"Length > 971","M-Omm"
29,8,1,8,1,0,0,"<leaf>","F-Myc"
30,5,1,5,1,0,0,"<leaf>","F-Pho"
31,46,6,37,6,6.09046594110709,0.164607187597489,"<leaf>","F-Sco"
34,25,3,16,3,5.883642038,0.367727627375,"Length < 543","F-Pho"
35,13,4,11,6,7.471153846,0.679195804181818,"Lat > 19.185","F-Exo"
36,75,5,62,5,28.1393250305172,0.453860081137375,"Lat < 24.85","A-Gal"
37,239,20,203,9,34.3129376089392,0.169029249305119,"Lon > -115.115","A-Gal"
46,7,1,6,2,0.148335317,0.0247225528333333,"<leaf>","A-Gal"
47,44,3,36,5,4.09572457583446,0.113770127106513,"Length < 568.5","F-Ost"
56,16,2,15,4,2.05659499888015,0.137106333258676,"<leaf>","M-Omm"
57,36,9,34,7,23.75,0.698529411764706,"Year < 2004.5","A-Por"
68,9,3,6,2,2.254450144,0.375741690666667,"<leaf>","M-Omm"
69,16,2,10,3,2.138092182,0.2138092182,"<leaf>","F-Pho"
70,3,1,2,2,0.125,0.0625,"<leaf>","F-Pho"
71,10,3,9,4,5.471153846,0.607905982888889,"Lat > 14.76","F-Exo"
72,21,1,14,2,1.26393798668224,0.0902812847630169,"<leaf>","M-Omm"
73,54,4,48,5,15.4032630171995,0.320901312858322,"Length < 583","A-Gal"
74,196,16,172,9,21.5759404598438,0.125441514301417,"<leaf>","A-Gal"
75,43,4,31,7,12.7369971490954,0.41087087577727,"Lon < -116.25","A-Gal"
94,4,1,2,2,0.719610178,0.359805089,"<leaf>","A-Gal"
95,40,3,34,5,2.81533475383446,0.0828039633480724,"<leaf>","F-Ost"
114,17,4,16,5,5.75,0.359375,"Length < 573","A-Por"
115,19,5,18,6,11,0.611111111111111,"Lat < 7.765","F-Pho"
142,7,2,6,2,2.471153846,0.411858974333333,"<leaf>","F-Exo"
143,3,1,3,3,2,0.666666666666667,"<leaf>","A-Gal"
146,3,1,3,1,0,0,"<leaf>","M-Omm"
147,51,4,45,5,12.4032630171995,0.275628067048877,"SST < 23.77778","A-Gal"
150,12,1,10,2,0.452541589876566,0.0452541589876566,"<leaf>","A-Gal"
151,31,3,21,7,12.2844555592188,0.584974074248515,"Lat < 15.495","A-Gal"
228,4,2,4,3,2,0.5,"<leaf>","M-Omm"
229,13,4,12,3,1.75,0.145833333333333,"<leaf>","A-Por"
230,7,2,7,2,1,0.142857142857143,"<leaf>","F-Pho"
231,12,3,11,6,7.260005983,0.660000543909091,"Length < 865","F-Sco"
294,19,1,15,2,7.48143280523608,0.498762187015739,"Length < 726.5","A-Gal"
295,32,3,30,5,4.9218302119634,0.164061007065447,"<leaf>","A-Gal"
302,8,1,7,4,4.15817223,0.594024604285714,"<leaf>","M-Omm"
303,23,2,14,6,7.44262778921881,0.531616270658486,"Length > 974.5","A-Gal"
462,8,2,7,5,4.739994017,0.677142002428571,"<leaf>","F-Exo"
463,4,2,4,2,1,0.25,"<leaf>","F-Sco"
588,4,1,2,2,0.147797559763919,0.0738987798819593,"<leaf>","M-Omm"
589,15,1,13,2,5.629230365,0.433017720384615,"Length > 751","A-Gal"
606,10,2,5,4,1.62003358530833,0.324006717061665,"Length > 713.5","A-Gal"
607,13,2,9,6,5,0.555555555555556,"Lat > 19.185","F-Ost"
1178,4,1,3,2,0.591281043,0.197093681,"<leaf>","M-Omm"
1179,11,1,10,2,3.220511408,0.3220511408,"<leaf>","A-Gal"
1212,5,1,3,3,0.121101349927062,0.0403671166423541,"<leaf>","A-Gal"
1213,5,2,2,3,1.00689856476866,0.503449282384328,"<leaf>","F-Ost"
1214,3,1,3,2,1,0.333333333333333,"<leaf>","A-Gal"
1215,10,1,6,6,3,0.5,"<leaf>","F-Ost"
