"TripSetNo","TripSetPredNo","Date","Quarter","Year","Lat","Lon","SST","PredSpp","Length","Fullness","Argonautidae","Balistidae","BivalviaC","Bramidae","Carangidae","Clupeidae","Coryphaenidae","DecapodaO","Engraulidae","Exocoetidae","Galatheidae","GastropodaC","Gempylidae","Hemiramphidae","Hemisquillidae","Loliginidae","Myctophidae","Nomeidae","Octopodidae","Ommastrephidae","Ostraciidae","Penaeidae","Phosichthyidae","Portunidae","Scombridae","Squillidae","StomatopodaO","Tetraodontidae","Thysanoteuthidae"
11,111,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",1266,80,0,0,0,0,0,0,0,0,0,0,79.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,112,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",1069,100,0,0,0,0,0,0,0,0,0,0,99.17,0,0,0,0,0,0,0,0,3.96,0,0,0,0,0,0,0,0,0
11,113,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",890,80,0,4.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.9,0,0,0,0,0,0,0,0
11,114,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",814,80,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.14,0,0,0,0,0,0,0,0
11,115,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",874,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.45,0,0,0,0,0,0,0,0
11,116,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",867,20,0,0,0,0,0,0,0,0,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,117,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",1281,30,0,8.77,0,0,0,0,0,0,0,0,2.41,0,0,0,0,0,0,0,0,2.6,0.13,0,0,0,0,0,0,0,0
11,118,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",855,50,0,0,0,0,0,0,0,0,0,0,2.99,0,0,0,0,0,0,0,0,18.93,0,0,0,0,0,0,0,0,0
11,119,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",822,80,0,0,0,0,0,0,0,0,0,5.72,0.45,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,4.5,0
11,1110,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",1059,70,0,0,0,0,0,0,0,0,0,1.79,19.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1211,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",1141,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.6,0,0,0,0
12,1212,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",917,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.08,0,0,0,0
12,1213,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",908,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,0,0,0,0,0,0
12,1214,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",1025,15,0,1.4,0,0,0,0,0,0,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1215,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",1274,20,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,0,0,13.29,0,0,0,0,0,0
