"TripSetNo","TripSetPredNo","Date","Quarter","Year","Lat","Lon","SST","PredSpp","Length","Fullness","Family","PropW"
11,111,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",1266,80,"Galatheidae",1
11,112,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",1069,100,"Galatheidae",0.961601861
11,112,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",1069,100,"Ommastrephidae",0.0384
11,113,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",890,80,"Balistidae",0.044179722
11,113,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",890,80,"Ostraciidae",0.955820278
11,114,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",814,80,"Balistidae",0.0132
11,114,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",814,80,"Ostraciidae",0.986804657
11,115,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",874,80,"Ostraciidae",1
11,116,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",867,20,"Galatheidae",1
11,117,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",1281,30,"Balistidae",0.630481681
11,117,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",1281,30,"Galatheidae",0.173256651
11,117,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",1281,30,"Ommastrephidae",0.186915875
11,117,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",1281,30,"Ostraciidae",0.00935
11,118,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",855,50,"Galatheidae",0.136405109
11,118,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",855,50,"Ommastrephidae",0.863594891
11,119,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",822,80,"Exocoetidae",0.520947168
11,119,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",822,80,"Galatheidae",0.041
11,119,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",822,80,"Phosichthyidae",0.0282
11,119,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",822,80,"Tetraodontidae",0.409836074
11,1110,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",1059,70,"Exocoetidae",0.0827
11,1110,"9/22/2003",3,2003,18.42,-116.02,26.94444,"Thunnus albacares",1059,70,"Galatheidae",0.917282813
12,1211,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",1141,85,"Scombridae",1
12,1212,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",917,40,"Scombridae",1
12,1213,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",908,15,"Phosichthyidae",1
12,1214,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",1025,15,"Balistidae",0.344827575
12,1214,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",1025,15,"Exocoetidae",0.655172425
12,1215,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",1274,20,"Balistidae",0.0678
12,1215,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",1274,20,"Ommastrephidae",0.14858491
12,1215,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",1274,20,"Phosichthyidae",0.783608487
12,1216,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",1151,30,"Phosichthyidae",1
12,1217,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",871,80,"Hemiramphidae",0.000409
12,1217,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",871,80,"Phosichthyidae",0.999591448
12,1218,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",822,80,"Octopodidae",0.0181
12,1218,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",822,80,"Phosichthyidae",0.981908638
12,1219,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",840,80,"Hemiramphidae",0.506250001
12,1219,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",840,80,"Phosichthyidae",0.493749999
12,1220,"10/06/2003",4,2003,11.68,-120.28,28.33333,"Thunnus albacares",974,30,"Phosichthyidae",1
23,2321,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1155,80,"Galatheidae",0.0298
23,2321,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1155,80,"Octopodidae",0.0268
23,2321,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1155,80,"Ommastrephidae",0.943415931
23,2322,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1108,80,"Octopodidae",0.00745
23,2322,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1108,80,"Ommastrephidae",0.992546646
23,2323,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1047,90,"Galatheidae",0.109583295
23,2323,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1047,90,"Ommastrephidae",0.890416705
23,2324,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1095,30,"Coryphaenidae",0.0364
23,2324,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1095,30,"Galatheidae",0.498861059
23,2324,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1095,30,"Ommastrephidae",0.464692472
23,2325,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1115,50,"Ommastrephidae",1
23,2326,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1129,60,"Galatheidae",0.359640607
23,2326,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1129,60,"Ommastrephidae",0.640359393
23,2327,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1140,90,"Ommastrephidae",1
23,2328,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1079,80,"Ommastrephidae",1
23,2329,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",639,30,"Ommastrephidae",1
23,2330,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1008,80,"Galatheidae",0.00313
